Athropods,General Fish,Freshwater Fish,Marine Fish,Reptiles,Amphibians,Birds,Mammals,Pollen,Federally Listed,Invasive Species,Plants,Marine Fish 2,Marine Fish 3
,Blackchin,FUNDULIDAE [CYPRINODONTIDAE] ,Caulophryne jordani ,,,,,,spikedace,,Marsilea villosa ,Synodus scituliceps ,Flapscale Blenny
,Blackfin cisco,  Fundulus diaphanus ,Caulophryne pelagica,,,,,,spruce-fir moss spider,,Minuartia cumberlandensis ,Synodus sechurae ,Longjaw Blenny
,Blackfin Tuna - Thunnus atlanticus,  Fundulus notatus ,Caulophryne polynema ,,,,,,Amargosa vole,, moss ,Synodus synodus ,Ringeye Conger
,Blackfish,  Fundulus nottii ,Caulophryne spp. [Fanfins],,,,,,Mexican Hualapai vole,, oak ,Taaningichthys minimus ,Lancer Dragonet
,blackside darter,POECILIIDAE ,Cebedichthys violaceus ,,,,,,moapa dace,, pine ,Tactostoma macropus ,Goldspotted Sand Bass
,Blackstripe topminnow,  Gambusia affinis ,Centrarchus macropterus ,,,,,,black-footed ferret,,Schenkia sebaeoides ,Talismania bifurcata ,Kelp Bass
,Blacktip reef shark,GASTEROSTEIDAE ,Centrobranchus nigroocellatus ,,,,,,gray bat,,spruce,Taractes rubescens ,Spotted Sand Bass
,Bleak,  Apeltes quadracus ,Centrophryne spinulosa ,,,,,,Indiana bat,,Torreya taxifolia ,Taractichthys longipinnis ,Barred Sand Bass
,Blenny,  Culaea inconstans ,Centropomus ensiferus ,,,,,,Mitchell's satyr butterfly,,willow,Taractichthys steindachneri,Sharpchin Barracudina
,Blind goby,  Gasterosteus aculeatus ,Centropomus parallelus ,,,,,,sand skink,,Zeltnera namophila ,Tarletonbeania crenularis ,Cortez Halibut
,Blind shark,  Pungitius pungitius ,Centropomus pectinatus ,,,,,,riparian woodrat,,Guatemalan fir,Tautoga onitis ,Gulf Flounder
,bloater,COTTIDAE ,Centropomus undecimalis ,,,,,,American burying beetle,,large-fruited sand verbena,Tautogolabrus adspersus ,California Halibut
,Blobfish,  Cottus bairdii ,Centropristis philadelphica ,,,,,,Cahaba shiner,,hidden-petal Indian mallow,Tetragonurus atlanticus ,Summer Flounder
,Blowfish,  Cottus cognatus ,Centropristis striata ,,,,,,Cape Fear shiner,,greenflower Indian mallow,Tetragonurus cuvieri ,Southern Flounder
,Blue catfish,  Cottus ricei ,Centropyge argi ,,,,,,yellowfin madtom,,liliwai,Tetrapturus pfluegeri ,Fourspot Flounder
,Blue danio,  Myoxocephalus thompsonii ,Centropyge aurantonotus ,,,,,,pygmy madtom,,San Diego thornmint,Thalassenchelys coheni,Dappled Flounder
,Blue eye,MORONIDAE [PERCICHTHYIDAE] ,Cephalopholis cruentata ,,,,,,Scioto madtom,,blunt chaff flower,Thalassoma bifasciatum ,Swellhead Snailfish
,Blue gourami,  Morone spp.,Cephalopholis fulva ,,,,,,Cedros Island mule deer,,northern blue monkshood,Thalassoma grammaticum ,Red Snailfish
,Blue shark,  Morone americana ,Ceratias holboelli ,,,,,,Apache trout,,pendant kihi fern,Thalassoma lucasanum ,Prickly Snailfish
,Blue triggerfish,  Morone chrysops ,Ceratoscopelus maderensis ,,,,,,Lahontan cutthroat trout,,Puerto Rico maidenhair,Thalassoma sp,Bigpored Snailfish
,Blue walleye,  Morone mississippiensis ,Ceratoscopelus spp.,,,,,,Paiute cutthroat trout,,Virginia jointvetch,Thaumatichthys axeli,Pink Snailfish
,Blue whiting,CENTRARCHIDAE ,Ceratoscopelus townsendi ,,,,,,greenback cutthroat trout,,sandplain gerardia,Thaumatichthys sp.,Broadfin Snailfish
,Blueback herring,  Ambloplites rupestris ,Ceratoscopelus warmingii ,,,,,,Gila trout,,mahoe,Thunnus alalunga ,Pacific Creolefish
,Bluefin tuna,  Lepomis cyanellus ,Cerdale floridana ,,,,,,chum salmon,,Munz' onion,Thunnus albacares ,Atlantic Creolefish
,Bluefish,  Lepomis gibbosus ,Cetengraulis edentulus ,,,,,,Oregon chub,,kuawawaenohu,Thunnus atlanticus ,Longnose Greeneye
,Bluegill,  Lepomis gulosus ,Cetengraulis mysticetus ,,,,,,rice rat,,Waianae Range alsinidendron,Thunnus obesus ,High-hat
,Blueline Tilefish,  Lepomis humilis ,Chaenomugil proboscideus ,,,,,,California bighorn sheep,,three-nerved alsinidendron,Thunnus orientalis [Thunnus thynnus orientalis] ,Blackbar Drum
,Blueline Tilefish - Caulolatilus microps,  Lepomis macrochirus ,Chaenophryne draco ,,,,,,amber darter,,climbing alsinidendron,Thysanactis spp.,Cubbyu
,Blue-redstripe danio,  Lepomis megalotis ,Chaenophryne longiceps ,,,,,,goldline darter,,Brown's pigweed,Tiluropsis sp.,Rock Croaker
,Bluntnose knifefish,  Lepomis microlophus ,Chaenophyryne melanorhabdus,,,,,,Conasauga logperch,,seabeach amaranth,Tilurus sp.,Sailfin Flyingfish
,Bluntnose minnow,  Micropterus dolomieui ,Chaenopsis alepidota ,,,,,,leopard darter,,South Texas ambrosia,Trachinocephalus myops ,Thornback Sculpin
,Boafish,  Micropterus salmoides ,Chaetodipterus faber ,,,,,,Roanoke logperch,,San Diego ambrosia,Trachinotus carolinus ,Dusky Cusk-eel
,Boarfish,  Pomoxis annularis ,Chaetodipterus zonatus ,,,,,,snail darter,,large-flowered fiddleneck,Trachinotus falcatus ,English Sole
,Bobtail snipe eel,  Pomoxis nigromaculatus ,Chaetodon capistratus ,,,,,,Pacific pocket mouse,,Kearney's bluestar,Trachinotus goodei ,Giant Lampfish
,Bocaccio,PERCIDAE ,Chaetodon humeralis ,,,,,,Key Largo cotton mouse,,Price's potato-bean,Trachinotus kennedyi ,Curved Sweeper
,Boga,  Etheostoma blennioides ,Chaetodon ocellatus ,,,,,,blackside dace,,MacDonald's rockcress,Trachinotus paitensis ,Glassy Sweeper
,Bombay duck,  Etheostoma caeruleum ,Chaetodon sedentarius ,,,,,,woundfin,,Braun's rockcress,Trachinotus rhodopus ,Worm Pipefish
,Bonefish,  Etheostoma chlorosomum ,Chaetodon striatus ,,,,,,Shenandoah salamander,,shale barren rockcress,Trachipterus altivelis ,Harvestfish
,Bonito,  Etheostoma exile ,Channomuraena vittata ,,,,,,Gila toppminnow,,Santa Rosa Island manzanita,Trachipterus fukuzakii ,Gulf Butterfish
,Bonnetmouth,  Etheostoma flabellare ,Chascanopsetta lugubris ,,,,,,smalltooth sawfish,,Morro manzanita,Trachurus lathami ,Pacific Pompano
,Bonytail chub,  Etheostoma microperca ,Chasmodes bosquianus ,,,,,,Alabama red-belly turtle,,Ione manzanita,Trachurus symmetricus ,Salema Butterfish
,Bonytongue,  Etheostoma nigrum ,Chasmodes saburrae ,,,,,,Colorado pikeminnow,,pallid manzanita,Trachyscorpia cristulata ,Butterfish
,Bowfin,  Etheostoma olmstedi ,Chauliodus danae ,,,,,,Florida panther,,marsh sandwort,Trichiurus lepturus ,Stripeback Darter
,bowfun,  Etheostoma zonale ,Chauliodus macouni ,,,,,,Gulf Coast jaguarundi,,Bear Valley sandwort,Trichiurus nitens ,Shield Darter
,Boxfish,  Gymnocephalus cernua ,Chauliodus sloani ,,,,,,Sinaloan jaguarundi,,Mauna Loa silversword,Trichopsetta ventralis ,Flag Flounder
,Bramble shark,  Perca flavescens ,Chaunax pictus ,,,,,,Laguna Mountains skipper,,Chase's threeawn,Tridentiger trigonocephalus ,Slender Searobin
,brassy minnow,  Percina caprodes ,Chaunax sp.,,,,,,mountain yellow-legged frog,,pelos del diablo,Trigonolampa spp.,Alligator Searobin
,Bream,  Percina copelandi ,Chaunax stigmaeus ,,,,,,Sierra Nevada Mountain yellow-legged frog,,Mead's milkweed,Trinectes fonsecensis ,Armored Searobin
,Brill,  Percina maculata ,Chaunax suttkusi ,,,,,,woodland caribou,,Welsh's milkweed,Trinectes maculatus ,Rimspine Searobin
,Brindled madtom,  Percina phoxocephala ,Cheilomycterus reticulatus ,,,,,,salt marsh harvest mouse,,four-petal pawpaw,Triphoturus mexicanus ,Black Armored Searobin
,Bristlemouth,  Percina shumardi ,Cheilomycterus schoepfi ,,,,,,bull trout,,pa`iniu,Triphoturus nigrescens ,Short-maned Sand Eel
,Bristlenose catfish,  Sander canadensis ,Cheilopogon cyanopterus ,,,,,,San Esteban Island chuckwalla,,Cushenbury milkvetch,Tylosurus acus ,Freckled Cardinalfish
,Broadband dogfish,  Sander vitreus ,Cheilopogon exsiliens ,,,,,,pallid sturgeon,,Shivwits milkvetch,Tylosurus acus pacificus ,Dusky Cardinalfish
,Bronze corydoras,SCIAENIDAE ,Cheilopogon furcatus ,,,,,,Alabama sturgeon,,Applegate's milkvetch,Tylosurus crocodilus ,Sponge Cardinalfish
,Brook lamprey,  Aplodinotus grunniens ,Cheilopogon heterurus ,,,,,,Delmarva Peninsula fox squirrel,,Pyne's ground plum,Type I sp. B,Longfin Gunnel
,Brook silverside,GOBIIDAE ,Cheilopogon heterurus hubbsi ,,,,,,Kirtland's warbler,,Braunton's milkvetch,Type II,Crescent Gunnel
,Brook stickleback,  Neogobius melanostomus ,Cheilopogon melanurus ,,,,,,Buena Vista Lake ornate shrew,,Clara Hunt's milkvetc,Typhlogobius californiensis ,Saddleback Gunnel
,Brook trout,Lake Herring,Cheilopogon papilio ,,,,,,Alabama cavefish,,Deseret milkvetch,Ulvicola sanctaerosae ,Red Gunnel
,Brotula,,Cheilopogon pinnatibarbatus californicus ,,,,,,Callippe silverspot butterfly,,Holmgren's milkvetch,Umbra pygmaea ,Starry Smooth-head
,Brown bullhead,American Brook Lamprey,Cheilopogon xenopterus ,,,,,,Monito gecko,,Mancos milkvetch,Umbrina coroides ,Slender Suckerfish
,Brown trout,Shovelnose Sturgeon,Cheilotrema saturnum ,,,,,,flattened musk turtle,,Lane Mountain milkvetch,Umbrina roncador ,Longfin Hake
,Buffalo fish,Gars,Cherublemma emmelas ,,,,,,Mount Graham red squirrel,,Osterhout milkvetch,Umbrina xanti ,Metallic Codling
,Bull shark,Alligator Gar,Chesnonia verrucosa [Occela verrucosa] ,,,,,,aquatic box turtle,,Ash Meadows milkvetch,Upeneus parvus ,Charcoal Codling
,Bull trout,Freshwater Eel,Chiasmodon niger ,,,,,,Kretschmarr Cave mold beetle,,triple-rib milkvetch,Uraspis helvola ,Hundred-fathom Codling
,Bullhead,Herrings,Chiasmodon subniger,,,,,,Bee Creek cave harvestman,,sand dollar catctus,Uraspis secunda ,Ribbon Prickleback
,bullhead minnow,Threadfin Shad,Chilara taylori ,,,,,,giant garter snake,,turtlefat,Uroconger syringinus ,Chrisscross Prickleback
,Bullhead shark,Central Stoneroller,Chiloconger dentatus [Chiloconger obtusus] ,,,,,,San Francisco garter snake,,Texas ayenia,Urophycis chuss ,Sabertooth Blenny
,Bumblebee goby,Largescale Stoneroller,Chilorhinus suensonii ,,,,,,loach minnow,,Encinitas baccharis,Urophycis earlli ,Starry Flounder
,Burbot,Northern Redbelly Dace,Chirocentrodon bleekerianus ,,,,,,West Indian manatee,,palo de ramon,Urophycis floridana ,Keeltail Needlefish
,Buri,Southern Redbelly Dace,Chirostomias spp.,,,,,,Zayante band-winged grasshopper,,hairy rattleweed,Urophycis regia ,Bluebarred Prickleback
,Burma danio,Finescale Dace,Chitonotus pugetensis ,,,,,,Texas blind salamander,,Virginia roundleaf birch,Urophycis tenuis ,Apricot Bass
,Burrowing goby,Redside Dace,Chlopsis bicolor ,,,,,,Coachella Valley fringe-toed lizard,,Sonoma sunshine,Uropterygius macrocephalus ,Cardinal Soldierfish
,Butterfish,Rosyside Dace,Chlopsis dentatus ,,,,,,island fox,,Hoffmann's rockcress,Uropterygius macularius ,Atka Mackerel
,Butterfly ray,Grass Carp,Chlopsis sp.,,,,,,grizzly bear,,decurrent false aster,Valenciennellus tripunctulatus ,C-O Sol
,Butterflyfish,Spotfin Shiner,Chlorophthalmus agassizi ,,,,,,San Joaquin kit fox,,Florida lady's nightcap,Venefica tentaculata,Curlfin Sol
,California flyingfish,Eastern Silvery Minnow,Chloroscombrus chrysurus ,,,,,,razorback sucker,,Hawaii lady's nightcap,Vinciguerria attenuata ,Spotted Turbot
,California halibut,Bigeye Chub,Chloroscombrus orqueta ,,,,,,,,cabbage on a stick,Vinciguerria lucetia ,Hornyhead Turbot
,Callionymus callionymus,Silver Carp,Choranthias tenuis ,,,,,,,,pua 'ala,Vinciguerria nimbaria ,Sturgeon Poacher
,Canary rockfish,Bighead Carp,Chriodorus atherinoides ,,,,,,,,threadleaf brodiaea,Vinciguerria poweriae ,Black Drum
,Candiru,Striped Shiner,Chromis alta ,,,,,,,,Chinese Camp brodiaea,Woodsia nonsuchae ,Pollock
,Candlefish,Common Shiner,Chromis cyanea ,,,,,,,,Vahl's boxwood,Xanthichthys mento ,Stareye Lightfish
,Capelin,Silver Chub,Chromis enchrysura ,,,,,,,,uhiuhi,Xanthichthys ringens ,Blue Bobo
,Cardinal tetra,Allegheny Pearl Dace,Chromis multilineata ,,,,,,,,capa rose,Xeneretmus latifrons ,Atlantic Threadfin
,Cardinalfish,Northern Pearl Dace,Chromis punctipinnis ,,,,,,,,Texas poppy mallow,Xeneretmus leiops ,Yellow Bobo
,Carp,Black Carp,Cichlasoma urophthalmus ,,,,,,,,Tiburon Mariposa lily,Xeneretmus ritteri ,Barbu
,Carpetshark,River Chub,Cirolophis decoratus ,,,,,,,,Thomas' lidflower,Xeneretmus triacanthus ,Bleeding Wrasse
,Carpsucker,Pugnose Shiner,Cirolophis nugator ,,,,,,,,palma de manaca,Xenocephalus egregious ,Beardfish
,Cat shark,River Shiner,Cirrhites rivulatus ,,,,,,,,Stebbins' false bindweed,Xenolepidichthys dalgleishi  ,Wreckfish
,Catalufa,Silverjaw Minnow,Cirrhitichthys oxycephalus ,,,,,,,,San Benito evening primrose,Xenomedea rhodopyga ,Gray Angelfish
,Catfish,Ironcolor Shiner,Cirriemblemaria lucasana [Protemblemaria lucasana] ,,,,,,,,Brooksville bellflower,Xenomystax atrarius ,French Angelfish
,Catla,Bigmouth Shiner,Citharichthys arctifrons ,,,,,,,,puakauhi,Xenomystax congroides ,Burro Grunt
,CATOSTOMIDAE ,Blackchin Shiner,Citharichthys cornutus ,,,,,,,,Makaha Valley Jack-bean,Xenophthalmichthys danae,Longsnout Scorpionfish
,Cavefish,Blacknose Shiner,Citharichthys fragilis ,,,,,,,,small-anthered bittercress,Xiphias gladius ,Red Scorpionfish
,Celebes rainbowfish,Rosyface Shiner,Citharichthys gilberti ,,,,,,,,white sedge,Xiphister atropurpureus ,Longspine Scorpionfish
,Central mudminnow,Weed Shiner,Citharichthys gordae ,,,,,,,,golden sedge,Xiphister mucosus ,Highfin Scorpionfish
,CENTRARCHIDAE ,Mimic Shiner,Citharichthys gymnorhinus ,,,,,,,,Navajo sedge,Xyrichtys martinicensis ,Speckled Scorpionfish
,Chain pickerel,Blacknose Dace,Citharichthys macrops ,,,,,,,,ashgray Indian paintbrush,Xyrichtys mundiceps ,Spotback Scorpionfish
,Channel bass,Creek Chub,Citharichthys platophrys ,,,,,,,,San Clemente Island Indian paintbrush,Xyrichtys novacula ,Darkedge Midshipman
,Channel catfish,Fallfish,Citharichthys sordidus ,,,,,,,,golden paintbrush,Xyrichtys splendens ,Deepwater Midshipman
,Char,Sucker,Citharichthys spilopterus ,,,,,,,,softleaf Indian paintbrush,Xystreurys liolepis ,Saddle Midshipman
,Cherry salmon,Highfin Carpsucker,Citharichthys stigmaeus ,,,,,,,,tropical lilythorn,Yarella blackfordi,Pearlspot Midshipman
,Cherubfish,Blue Sucker,Citharichthys xanthostigma ,,,,,,,,California jewelflower,Zalieutes elater ,Specklefin Midshipman
,chestnut lamprey,Creek Chubsucker,Clarkichthys bilineatus ,,,,,,,,coyote ceanothus,Zaniolepis frenata ,Plainfin Midshipman
,Chimaera,Lake Chubsucker,Clepticus parrae ,,,,,,,,Vail Lake ceanothus,Zaniolepis latipinnis ,Atlantic Midshipman
,Chinook salmon,Northern Hogsucker,Clevelandia ios ,,,,,,,,Pine Hill ceanothus,Zenopsis conchifer ,Whitebarred Prickleback
,Chub,Bigmouth Buffalo,Clinocottus acuticeps ,,,,,,,,kamanomano,Zesticelus profundorum ,Crested Bigscale
,Chubsucker,Black Buffalo,Clinocottus analis ,,,,,,,,Santa Catalina Island mountain-mahogany,Zoarces americanus ,Yawning
,Chum salmon,Silver Redhorse,Clinocottus embryum ,,,,,,,,dense-flowered papala,Zu cristatus ,Hawaiian Bigeye
,Cichlid,Blackfin Sucker,Clinocottus globiceps ,,,,,,,,purple amole,ACANTHURIDAE ,Bigeye
,Ciliata ciliata,River Redhorse,Clinocottus recalvus ,,,,,,,,Mendocino spineflower,ACHIRIDAE ,Northern Searobin
,Cisco,Black Redhorse,Clupea harengus ,,,,,,,,San Diego spineflower,ACROPOMATIDAE ,Striped Searobin
,Cisco ,Golden Redhorse,Clupea pallasii ,,,,,,,,robust spineflower,AGONIDAE ,Rough Searobin
,Climbing catfish,Shorthead Redhorse,Coccorella atlantica ,,,,,,,,Sonoma spineflower,Agonus agonus,Leopard Searobin
,Climbing gourami,Greater Redhorse,Cololabis saira ,,,,,,,,Florida golden aster,ALBULIDAE ,Lumptail Searobin
,Climbing perch,North American Catfishes,Conger esculentus ,,,,,,,,La Graciosa thistle,ALEPISAURIDAE ,Bighead Searobin
,Clingfish,Channel Catfish,Conger oceanicus ,,,,,,,,Pitcher's thistle,ALEPOCEPHALIDAE ,Short Bigeye
,Clown loach,Stonecat,Conger triporiceps ,,,,,,,,Sacramento Mountains thistle,Ammodytes ammodytes,Popeye Catalufa
,Clown triggerfish,Tadpole Madtom,Conocara salmoneum ,,,,,,,,Mariposa pussypaws,AMMODYTIDAE ,Wenchman
,Clownfish,Smelts,Conodon nobilis ,,,,,,,,Florida perforate cladonia,ANARHICHADIDAE ,Slender Wenchman
,Clupea clupea,Cisco,Conodon serrifer ,,,,,,,,Presidio clarkia,anchovies,Longsnout Butterflyfish
,CLUPEIDAE ,Rainbow Trout,Cookeolus japonicus ,,,,,,,,Vine Hill clarkia,angelfish,Bank Butterflyfish
,Cobbler,Sockeye Salmon,Coralliozetus angelicus ,,,,,,,,Springville clarkia,Anguilla anguilla,Scythe Butterflyfish
,Cobia,Pigmy Whitefish,Coralliozetus micropes ,,,,,,,,Morefield's leather flower,ANOPLOGASTRIDAE ,Guyana Butterflyfish
,Cobius cobius,Redfin Pickerel,Coralliozetus rosenblatti ,,,,,,,,Alabama leather flower,ANOPLOPOMATIDAE ,Gyre Flyingfish
,Cod,Trout Perches,Corniger spinosus ,,,,,,,,Kohala Mountain clermontia,ANTENNARIIDAE ,Bluntnose Flyingfish
,Cod icefish,Trout Perch,Coryphaena equiselis ,,,,,,,,hillside clermontia,anthias,Panamic Flyingfish
,Codlet,Pirate Perch,Coryphaena hippurus ,,,,,,,,Pele clermontia,Aphia aphia,Roudi Escolar
,Codling,Cods,Coryphaenoides acrolepis ,,,,,,,,pear clermontia,APOGONIDAE ,Bigeye Bass
,Coelacanth,New World Silversides,Coryphaenoides anguliceps ,,,,,,,,Hana clermontia,ARGENTINIDAE ,Roughtongue Bass
,Coffinfish,Topminnows,Coryphaenoides armatus ,,,,,,,,pigeon wings,ARIIDAE ,Threadfin Bass
,Coho salmon,Bayou Topminnow,Coryphaenoides filifer ,,,,,,,,Kauila,ARIOMMATIDAE ,Sand Lance
,Coley,Livebearers,Coryphaenoides leptolepis ,,,,,,,,short-leaved rosemary,ASTRONESTHIDAE ,Warthead Blenny
,Collared carpetshark,Western Mosquitofish,Coryphaenoides yaquinae,,,,,,,,Etonia rosemary,ATELEOPODIDAE ,California FlashLightfish
,Collared dogfish,Sticklebacks,Coryphopterus urospilus ,,,,,,,,Apalachicola rosemary,AULOPIDAE ,Bigeye Lanternfish
,Colorado squawfish,Fourspine Stickleback,Cosmocampus albirostris ,,,,,,,,Cumberland rosemary,AULOSTOMIDAE ,Banded Driftfish
,Combfish,Threespine Stickleback,Cosmocampus arctus ,,,,,,,,serpentine manjack,BALISTIDAE ,Freckled Driftfish
,Combtail gourami,Sculpins,Cosmocampus brachycephalus ,,,,,,,,salt marsh bird's beak,bass,Silver Driftfish
,Combtooth blenny,Temperate Basses,Cosmocampus elucens ,,,,,,,,palmatus bird's beak,BATHYLAGIDAE ,Bluefin Driftfish
,Common carp,Sunfishes,Cosmocampus hildebrandi ,,,,,,,,palo de nigua,BATHYMASTERIDAE ,Twospine Driftfish
,Common logperch,Longear Sunfish,Cosmocampus profundus ,,,,,,,,bunched cory cactus,BATHYSAURIDAE ,Sand Sole
,Common tunny,Redear Sunfish,Cottunculus microps ,,,,,,,,Puerto Rico helmet orchid,BATRACHOIDIDAE ,Blunthead Triggerfish
,Conger eel,Largemouth Bass,Cottunculus thomsonii ,,,,,,,,Avon Park rattlebox,Belone belone,Stout BlackSmelt
,Convict blenny,Perches,Cottus aleuticus ,,,,,,,,Terlingua Creek cat's-eye,BELONIDAE ,White Trevally
,Convict cichlid,Greenside Darter,Cottus asper ,,,,,,,,Pauoa,BLENNIIDAE ,Reef Bass
,Cookie-cutter shark,Bluntnose Darter,Crocodilichthys gracilis ,,,,,,,,Santa Cruz cypress,bluefish,Pacific Reef Bass
,Coolie loach,Iowa Darter,Cryptopsaras couesi ,,,,,,,,Honolulu cyanea,BOTHIDAE ,Slender Worm Eel
,Coregonus artedi,Fantail Darter,Cryptotomus roseus ,,,,,,,,gingerleaf cyanea,boxfish,Diminutive Worm Eel
,Coregonus hoyi,Least Darter,Cryptotrema corallinum ,,,,,,,,treetrunk cyanea,BRAMIDAE ,Freshwater Pipefish
,Cornetfish,Tessellated Darter,Ctenogobius boleosoma ,,,,,,,,Koolau Range rollandia,BREGMACEROTIDAE ,Purple-mouthed Conger
,COTTIDAE ,Ruffle,Ctenogobius saepepallens ,,,,,,,,haha,BYTHITIDAE ,Winter Flounder
,Cow shark,Channel Darter,Ctenogobius sagittula ,,,,,,,,ravine cyanea,CALLIONYMIDAE ,Bigscale Goatfish
,Cowfish,Slenderhead Darter,Cubiceps baxteri ,,,,,,,,Eleele cyanea,Callionymus callionymus,Spotted Goatfish
,Cownose ray,River Darter,Cubiceps capensis ,,,,,,,,smooth cyanea,CAPROIDAE ,Blob Sculpin
,Crappie,Drums and Croakers,Cubiceps paradoxus ,,,,,,,,splitleaf cyanea,CARANGIDAE ,Pacific Fanfish
,Creek chub,Gobies,Cubiceps pauciradiatus ,,,,,,,,wetforest cyanea,CARAPIDAE ,Hovering Dartfish
,Crestfish,,Cyclopsetta fimbriata ,,,,,,,,Oahu rollandia,cardinalfish,Devil Firefish
,Crevice kelpfish,,Cyclopsetta panamensis ,,,,,,,,'oha,CARISTIIDAE ,Red Lionfish
,Croaker,,Cyclopsetta querna ,,,,,,,,Palolo Valley rollandia,catfish,Atlantic Fanfish
,Crocodile icefish,,Cyclopterus lumpus ,,,,,,,,Limahuli Valley cyanea,CAULOPHRYNIDAE ,Black-spotted Eel
,Crocodile shark,,Cyclothone acclinidens ,,,,,,,,Waihee Valley cyanea,CENTROLOPHIDAE ,Shadow Goby
,Crucian carp,,Cyclothone alba ,,,,,,,,ridge rollandia,CENTROPHRYNIDAE ,Cobia
,Ctenolabrus ctenolabrus,,Cyclothone atraria ,,,,,,,,Mann's cyanea,CENTROPOMIDAE ,Tapertail
,Cuckoo wrasse,,Cyclothone braueri ,,,,,,,,McEldowney cyanea,CERATIIDAE ,Slim Sculpin
,Cusk,,Cyclothone microdon ,,,,,,,,sharktail cyanea,CETOMIMIDAE [MIRAPINNIDAE] ,Darter Sculpin
,Cusk-eel,,Cyclothone pallida ,,,,,,,,puna cyanea,CHAENOPSIDAE ,Smoothgum Sculpin
,Cutlassfish,,Cyclothone pseudopallida ,,,,,,,,Molokai cyanea,CHAETODONTIDAE ,Slender Mola
,Cutthroat eel,,Cyclothone signata ,,,,,,,,upright cyanea,CHAUNACIDAE ,Stripefin Ronquil
,Cutthroat trout,,Cyema atrum ,,,,,,,,Remy's cyanea,CHIASMODONTIDAE ,Oarfish
,CYPRINIDAE ,,Cynoscion arenarius ,,,,,,,,plateau cyanea,chimaera,Greenland Halibut
,Dab,,Cynoscion nebulosus ,,,,,,,,Shipman's cyanea,CHLOPSIDAE ,White Suckerfish
,Dace,,Cynoscion nothus ,,,,,,,,St. John's rollandia,CHLOROPHTHALMIDAE ,Whalesucker
,Daggertooth pike conger,,Cynoscion parvipinnis ,,,,,,,,Kaiholena cyanea,CICHLIDAE ,Spearfish Remora
,Damselfish,,Cynoscion regalis ,,,,,,,,Mt. Kaala cyanea,Ciliata ciliata,Marlinsucker
,Danio,,Cynoscion reticulatus ,,,,,,,,Punaluu cyanea,CIRRHITIDAE ,Remora
,Darter,,Cyprinella analostana ,,,,,,,,elfin tree fern,CLINIDAE ,Grunt Sculpin
,Dartfish,,Cyprinodon variegatus ,,,,,,,,pu`uka`a,clownfish,Dubious Conger
,Dealfish,,Cypselurus callopterus ,,,,,,,,Kahana Valley cyrtandra,Clupea clupea,Blackeye Goby
,Death Valley pupfish,,Cypselurus comatus ,,,,,,,,mapele,Cobius cobius,Slim Snailfish
,Deep sea eel,,Dactylagnus mundus ,,,,,,,,mountain cyrtandra,CONGRIDAE ,Longnose Snailfish
,Deep sea smelt,,Dactylagnus parvus ,,,,,,,,Giffard's cyrtandra,CORYPHAENIDAE ,Vermilion Snapper
,Deepwater cardinalfish,,Dactylopterus volitans ,,,,,,,,Lanaihale cyrtandra,Ctenolabrus ctenolabrus,Yellow Conger
,deepwater cisco,,Dactyloscopus byersi [Dactylagnus byersi heraldi] ,,,,,,,,shaggystem cyrtandra,CYCLOPTERIDAE ,Needletail Conger
,Deepwater flathead,,Dactyloscopus fimbriatus [Dactylagnus fimbriatus elongatus] ,,,,,,,,cliffside cyrtandra,CYEMATIDAE ,Southern Clingfish
,Deepwater sculpin,,Dactyloscopus lunaticus ,,,,,,,,Niu Valley cyrtandra,CYNOGLOSSIDAE ,Slender Clingfish
,Deepwater stingray,,Dactyloscopus pectoralis pectoralis ,,,,,,,,parasol cyrtandra,CYPRINODONTIDAE ,Kelp Clingfish
,Delta smelt,,Danaphos oculatus ,,,,,,,,Laupahoehoe cyrtandra,DACTYLOPTERIDAE ,Guadalupe Clingfish
,Demoiselle,,Decapterus macarellus ,,,,,,,,ha`iwale,DACTYLOSCOPIDAE ,Spotfin Croaker
,Denticle herring,,Decapterus macrosoma ,,,,,,,,leafy prairie clover,damselfish,Chubby Pearleye
,Desert pupfish,,Decapterus muroadsi ,,,,,,,,no common name,DERICHTHYIDAE ,Roughcheek Sculpin
,Devario,,Decapterus punctatus ,,,,,,,,beautiful pawpaw,DICERATIIDAE ,Puget Sound Sculpin
,Devil ray,,Decapterus spp. ,,,,,,,,Rugel's pawpaw,DIODONTIDAE ,Oilfish
,Dhufish,,Decodon melasma ,,,,,,,,Otay tarweed,DIRETMIDAE ,Mottled Soapfish
,Discus,,Decodon melasuellarisma ,,,,,,,,Kauai delissea,ECHENEIDAE ,Freckled Soapfish
,Diver: New Zealand sand diver or long-finned sand diver,,Derichthys serpentinus ,,,,,,,,Ko'olau Range delissea,ELEOTRIDAE ,Largespotted Soapfish
,Dogfish,,Dermatolepis dermatolepis ,,,,,,,,Baker's larkspur,ELOPIDAE ,Twice-spotted Soapfish
,Dogfish shark,,Dermatolepis inermis ,,,,,,,,yellow larkspur,ENGRAULIDAE ,Greater Soapfish
,Dogteeth tetra,,Desmodema lorum ,,,,,,,,Garrett's mint,Engraulis engraulis,Spotted Soapfish
,Dojo loach,,Desmodema polystictum ,,,,,,,,longspurred mint,Entelurus entelurus,Whiptail gulper
,Dolly Varden trout,,Dialommus macrocephalus [Mnierpes macrocephalus] ,,,,,,,,scrub balm,EPHIPPIDAE ,Gulpers
